locus_tag	ftype	length_bp	gene	EC_number	COG	product
EJKFKEDI_04219	CDS	708				hypothetical protein
EJKFKEDI_04220	CDS	825	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
EJKFKEDI_04221	CDS	204				hypothetical protein
EJKFKEDI_04222	CDS	234				hypothetical protein
EJKFKEDI_04223	CDS	321	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
EJKFKEDI_04224	CDS	2547	cyaA	4.6.1.1	COG3072	Adenylate cyclase
EJKFKEDI_04225	CDS	963	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
EJKFKEDI_04226	CDS	741	hemD	4.2.1.75	COG1587	Uroporphyrinogen-III synthase
EJKFKEDI_04227	CDS	1206	hemX		COG2959	Protein HemX
EJKFKEDI_04228	CDS	1197	hemY		COG3071	Protein HemY
EJKFKEDI_04229	CDS	591				hypothetical protein
EJKFKEDI_04230	CDS	1656		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
EJKFKEDI_04231	CDS	1236	chuR_2	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
EJKFKEDI_04232	tRNA	77				tRNA-Pro(tgg)
EJKFKEDI_04233	tRNA	87				tRNA-Leu(cag)
EJKFKEDI_04234	tRNA	76				tRNA-His(gtg)
EJKFKEDI_04235	tRNA	77				tRNA-Arg(ccg)
EJKFKEDI_04236	CDS	1386	yifK		COG1113	putative transport protein YifK
EJKFKEDI_04237	CDS	741	wecG	2.4.1.180	COG1922	UDP-N-acetyl-D-mannosaminuronic acid transferase
EJKFKEDI_04238	CDS	1353	wzyE			putative ECA polymerase
EJKFKEDI_04239	CDS	1080	wecF	2.4.1.325		TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
EJKFKEDI_04240	CDS	1251	wzxE		COG2244	Lipid III flippase
EJKFKEDI_04241	CDS	1131	wecE	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
EJKFKEDI_04242	CDS	675	wecD	2.3.1.210	COG0454	dTDP-fucosamine acetyltransferase
EJKFKEDI_04243	CDS	882	rffH	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 2
EJKFKEDI_04244	CDS	1068	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
EJKFKEDI_04245	CDS	1263	wecC	1.1.1.336	COG0677	UDP-N-acetyl-D-mannosamine dehydrogenase
EJKFKEDI_04246	CDS	1131	wecB	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
EJKFKEDI_04247	CDS	1047	wzzE		COG3765	ECA polysaccharide chain length modulation protein
EJKFKEDI_04248	CDS	1104	wecA	2.7.8.33	COG0472	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
EJKFKEDI_04249	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
EJKFKEDI_04250	CDS	330	trxA		COG0526	Thioredoxin 1
EJKFKEDI_04251	CDS	1266	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
EJKFKEDI_04252	CDS	1485	gppA	3.6.1.40	COG0248	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
EJKFKEDI_04253	CDS	2022	rep	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
EJKFKEDI_04254	CDS	282	ppiC	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
EJKFKEDI_04255	CDS	1476	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
EJKFKEDI_04256	CDS	960	hdfR_2			HTH-type transcriptional regulator HdfR
EJKFKEDI_04257	CDS	1548	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
EJKFKEDI_04258	CDS	1851	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
EJKFKEDI_04259	CDS	930	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
EJKFKEDI_04260	CDS	264	ilvM	2.2.1.6	COG3978	Acetolactate synthase isozyme 2 small subunit
EJKFKEDI_04261	CDS	1647	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
EJKFKEDI_04262	CDS	1521	comM		COG0606	Competence protein ComM
EJKFKEDI_04263	CDS	339				hypothetical protein
EJKFKEDI_04264	CDS	840	hdfR_3			HTH-type transcriptional regulator HdfR
EJKFKEDI_04265	tRNA	76				tRNA-Trp(cca)
EJKFKEDI_04266	tRNA	77				tRNA-Asp(gtc)
EJKFKEDI_04267	rRNA	111				5S ribosomal RNA
EJKFKEDI_04268	rRNA	2901				23S ribosomal RNA
EJKFKEDI_04269	tRNA	76				tRNA-Glu(ttc)
EJKFKEDI_04270	rRNA	1538				16S ribosomal RNA
EJKFKEDI_04271	CDS	693	nanR_3			HTH-type transcriptional repressor NanR
EJKFKEDI_04272	CDS	1428	hsrA			putative transport protein HsrA
EJKFKEDI_04273	CDS	993	rbsR		COG1609	Ribose operon repressor
EJKFKEDI_04274	CDS	930	rbsK_2	2.7.1.15	COG0524	Ribokinase
EJKFKEDI_04275	CDS	891	rbsB_3		COG1879	Ribose import binding protein RbsB
EJKFKEDI_04276	CDS	966	rbsC_3		COG1172	Ribose import permease protein RbsC
EJKFKEDI_04277	CDS	1506	rbsA_4	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
EJKFKEDI_04278	CDS	420	rbsD	5.4.99.62	COG1869	D-ribose pyranase
EJKFKEDI_04279	CDS	1869	kup			Low affinity potassium transport system protein kup
EJKFKEDI_04280	CDS	1497	ravA	3.6.3.-	COG0714	ATPase RavA
EJKFKEDI_04281	CDS	1452	viaA		COG2425	Protein ViaA
EJKFKEDI_04282	CDS	993	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
EJKFKEDI_04283	CDS	459	asnC		COG1522	Regulatory protein AsnC
EJKFKEDI_04284	CDS	444	mioC		COG0716	Protein MioC
EJKFKEDI_04285	CDS	1890	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
EJKFKEDI_04286	CDS	624	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
EJKFKEDI_04287	CDS	381	atpI		COG3312	ATP synthase protein I
EJKFKEDI_04288	CDS	816	atpB		COG0356	ATP synthase subunit a
EJKFKEDI_04289	CDS	240	atpE		COG0636	ATP synthase subunit c
EJKFKEDI_04290	CDS	471	atpF		COG0711	ATP synthase subunit b
EJKFKEDI_04291	CDS	534	atpH		COG0712	ATP synthase subunit delta
EJKFKEDI_04292	CDS	1542	atpA	7.1.2.2		ATP synthase subunit alpha
EJKFKEDI_04293	CDS	864	atpG		COG0224	ATP synthase gamma chain
EJKFKEDI_04294	CDS	1383	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
EJKFKEDI_04295	CDS	420	atpC		COG0355	ATP synthase epsilon chain
EJKFKEDI_04296	CDS	1371	glmU_2		COG1207	Bifunctional protein GlmU
EJKFKEDI_04297	CDS	1830	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
EJKFKEDI_04298	CDS	1041	pstS		COG0226	Phosphate-binding protein PstS
EJKFKEDI_04299	CDS	960	pstC		COG0573	Phosphate transport system permease protein PstC
EJKFKEDI_04300	CDS	891	pstA		COG0581	Phosphate transport system permease protein PstA
EJKFKEDI_04301	CDS	774	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
EJKFKEDI_04302	CDS	726	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU
EJKFKEDI_04303	CDS	693	bglG		COG3711	Cryptic beta-glucoside bgl operon antiterminator
EJKFKEDI_04304	CDS	1875	bglF		COG1263	PTS system beta-glucoside-specific EIIBCA component
EJKFKEDI_04305	CDS	1395	bglB	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglB
EJKFKEDI_04306	CDS	1617	bglH		COG4580	Cryptic outer membrane porin BglH
EJKFKEDI_04307	CDS	1170	axe1-6A		COG2382	Carbohydrate acetyl esterase/feruloyl esterase
EJKFKEDI_04308	CDS	723	gamA	3.5.99.6	COG0363	putative glucosamine-6-phosphate deaminase 2
EJKFKEDI_04309	CDS	588				hypothetical protein
EJKFKEDI_04310	CDS	468	cbrB			Inner membrane protein CbrB
EJKFKEDI_04311	CDS	666	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
EJKFKEDI_04312	CDS	1338	adeP		COG2252	Adenine permease AdeP
EJKFKEDI_04313	CDS	567	chrR	1.6.5.2	COG0431	Quinone reductase
EJKFKEDI_04314	CDS	750				hypothetical protein
EJKFKEDI_04315	CDS	960	yidZ			HTH-type transcriptional regulator YidZ
EJKFKEDI_04316	CDS	1176	mdtL			Multidrug resistance protein MdtL
EJKFKEDI_04317	CDS	1248	tnaB		COG0814	Low affinity tryptophan permease
EJKFKEDI_04318	CDS	1416	tnaA	4.1.99.1	COG3033	Tryptophanase
EJKFKEDI_04319	CDS	1365	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
EJKFKEDI_04320	CDS	1647	yidC			Membrane protein insertase YidC
EJKFKEDI_04321	CDS	327	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
EJKFKEDI_04322	CDS	141	rpmH		COG0230	50S ribosomal protein L34
EJKFKEDI_04323	CDS	1404	dnaA		COG0593	Chromosomal replication initiator protein DnaA
EJKFKEDI_04324	CDS	1101	dnaN		COG0592	Beta sliding clamp
EJKFKEDI_04325	CDS	1074	recF		COG1195	DNA replication and repair protein RecF
EJKFKEDI_04326	CDS	2415	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
EJKFKEDI_04327	CDS	399				hypothetical protein
EJKFKEDI_04328	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
EJKFKEDI_04329	CDS	657				hypothetical protein
EJKFKEDI_04330	CDS	690	lutR_2		COG2186	HTH-type transcriptional regulator LutR
EJKFKEDI_04331	CDS	879	dgoK1_2	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
EJKFKEDI_04332	CDS	618	dgoA_2	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
EJKFKEDI_04333	CDS	1149	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
EJKFKEDI_04334	CDS	1293	dgoT			D-galactonate transporter
EJKFKEDI_04335	CDS	1101	cbrA		COG0644	Protein CbrA
EJKFKEDI_04336	CDS	1215				hypothetical protein
EJKFKEDI_04337	CDS	261				hypothetical protein
EJKFKEDI_04338	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
EJKFKEDI_04339	CDS	429	ibpB		COG0071	Small heat shock protein IbpB
EJKFKEDI_04340	CDS	1662	aspT_2			Aspartate/alanine antiporter
EJKFKEDI_04341	CDS	867	rhaR_3			HTH-type transcriptional activator RhaR
EJKFKEDI_04342	CDS	1716	yidK		COG4146	putative symporter YidK
EJKFKEDI_04343	CDS	363		3.1.6.-	COG3119	N-acetylglucosamine-6-O-sulfatase
EJKFKEDI_04344	CDS	1179				hypothetical protein
EJKFKEDI_04345	CDS	348	yidH		COG2149	Inner membrane protein YidH
EJKFKEDI_04346	CDS	363	yidG			Inner membrane protein YidG
EJKFKEDI_04347	CDS	498				hypothetical protein
EJKFKEDI_04348	CDS	1185	emrD			Multidrug resistance protein D
EJKFKEDI_04349	CDS	1689	ilvB	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
EJKFKEDI_04350	CDS	291	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
EJKFKEDI_04351	CDS	132				hypothetical protein
EJKFKEDI_04352	CDS	489				hypothetical protein
EJKFKEDI_04353	CDS	591	uhpA		COG2197	Transcriptional regulatory protein UhpA
EJKFKEDI_04354	CDS	1503	uhpB	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase UhpB
EJKFKEDI_04355	CDS	1320	uhpC		COG2271	Membrane sensor protein UhpC
EJKFKEDI_04356	CDS	1392	uhpT		COG2271	Hexose-6-phosphate:phosphate antiporter
EJKFKEDI_04357	CDS	1767	ade	3.5.4.2	COG1001	Adenine deaminase
EJKFKEDI_04358	CDS	1335	adeQ		COG2252	Adenine permease AdeQ
EJKFKEDI_04359	CDS	453				hypothetical protein
EJKFKEDI_04360	CDS	324				hypothetical protein
EJKFKEDI_04361	CDS	360				hypothetical protein
EJKFKEDI_04362	CDS	1239	nepI		COG2814	Purine ribonucleoside efflux pump NepI
EJKFKEDI_04363	CDS	294				hypothetical protein
EJKFKEDI_04364	CDS	819	nlpA		COG1464	Lipoprotein 28
EJKFKEDI_04365	CDS	924	yicL		COG0697	putative inner membrane transporter YicL
EJKFKEDI_04366	CDS	498				hypothetical protein
EJKFKEDI_04367	CDS	846				hypothetical protein
EJKFKEDI_04368	CDS	222				hypothetical protein
EJKFKEDI_04369	CDS	435				hypothetical protein
EJKFKEDI_04370	CDS	633				hypothetical protein
EJKFKEDI_04371	CDS	162				hypothetical protein
EJKFKEDI_04372	CDS	1038	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
EJKFKEDI_04373	CDS	690	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
EJKFKEDI_04374	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
EJKFKEDI_04375	CDS	588	eamB		COG1280	Cysteine/O-acetylserine efflux protein
EJKFKEDI_04376	CDS	882	cmpR			HTH-type transcriptional activator CmpR
EJKFKEDI_04377	CDS	1335	srmB	3.6.4.13	COG0513	ATP-dependent RNA helicase SrmB
EJKFKEDI_04378	CDS	738	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
EJKFKEDI_04379	CDS	1623	nadB	1.4.3.16	COG0029	L-aspartate oxidase
EJKFKEDI_04380	CDS	576	rpoE		COG1595	ECF RNA polymerase sigma-E factor
EJKFKEDI_04381	CDS	651	rseA		COG3073	Anti-sigma-E factor RseA
EJKFKEDI_04382	CDS	957	rseB		COG3026	Sigma-E factor regulatory protein RseB
EJKFKEDI_04383	CDS	480	rseC		COG3086	Protein RseC
EJKFKEDI_04384	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
EJKFKEDI_04385	CDS	975	lepB	3.4.21.89	COG0681	Signal peptidase I
EJKFKEDI_04386	CDS	681	rnc	3.1.26.3	COG0571	Ribonuclease 3
EJKFKEDI_04387	CDS	906	era_2		COG1159	GTPase Era
EJKFKEDI_04388	CDS	729	recO		COG1381	DNA repair protein RecO
EJKFKEDI_04389	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
EJKFKEDI_04390	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
EJKFKEDI_04391	CDS	261	yfhL		COG1145	Ferredoxin YfhL
EJKFKEDI_04392	CDS	849	murR		COG1737	HTH-type transcriptional regulator MurR
EJKFKEDI_04393	CDS	636	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
EJKFKEDI_04394	CDS	504	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
EJKFKEDI_04395	CDS	1557	mltF_3	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
EJKFKEDI_04396	CDS	3888	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
EJKFKEDI_04397	CDS	1383	qseE	2.7.13.3		Sensor histidine kinase QseE
EJKFKEDI_04398	CDS	714	qseG			Quorum-sensing regulator protein G
EJKFKEDI_04399	CDS	1335	qseF		COG2204	Transcriptional regulatory protein QseF
EJKFKEDI_04400	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II 1
EJKFKEDI_04401	CDS	1191	hmp	1.14.12.17	COG1017	Flavohemoprotein
EJKFKEDI_04402	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
EJKFKEDI_04403	CDS	1194	mlc_2		COG1940	Protein mlc
EJKFKEDI_04404	CDS	3282	lapB_2			Lipopolysaccharide assembly protein B
EJKFKEDI_04405	CDS	984	yphF		COG1879	ABC transporter periplasmic-binding protein YphF
EJKFKEDI_04406	CDS	1530	mglA_2	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
EJKFKEDI_04407	CDS	999	rbsC_4		COG1172	Ribose import permease protein RbsC
EJKFKEDI_04408	CDS	1062	gutB	1.1.1.-	COG1063	Sorbitol dehydrogenase
EJKFKEDI_04409	CDS	873	yphB_2		COG2017	putative protein YphB
EJKFKEDI_04410	CDS	423	yphA		COG2259	Inner membrane protein YphA
EJKFKEDI_04411	CDS	1140	hcaT			putative 3-phenylpropionic acid transporter
EJKFKEDI_04412	CDS	1281				hypothetical protein
EJKFKEDI_04413	CDS	855			COG1073	putative protein
EJKFKEDI_04414	CDS	804	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
EJKFKEDI_04415	CDS	741	trmJ	2.1.1.200	COG0565	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
EJKFKEDI_04416	CDS	489	iscR		COG1959	HTH-type transcriptional regulator IscR
EJKFKEDI_04417	CDS	1215	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
EJKFKEDI_04418	CDS	387	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
EJKFKEDI_04419	CDS	324	iscA		COG0316	Iron-binding protein IscA
EJKFKEDI_04420	CDS	516	hscB		COG1076	Co-chaperone protein HscB
EJKFKEDI_04421	CDS	1851	hscA		COG0443	Chaperone protein HscA
EJKFKEDI_04422	CDS	336	fdx		COG0633	2Fe-2S ferredoxin
EJKFKEDI_04423	CDS	201	iscX		COG2975	Protein IscX
EJKFKEDI_04424	CDS	1284	pepB	3.4.11.23	COG0260	Peptidase B
EJKFKEDI_04425	CDS	777				hypothetical protein
EJKFKEDI_04426	CDS	846	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
EJKFKEDI_04427	CDS	4962	yfhM		COG2373	Alpha-2-macroglobulin
EJKFKEDI_04428	CDS	2277	pbpC		COG4953	Penicillin-binding protein 1C
EJKFKEDI_04429	CDS	432	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
EJKFKEDI_04430	CDS	1155	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
EJKFKEDI_04431	CDS	1008	rodZ		COG1426	Cytoskeleton protein RodZ
EJKFKEDI_04432	CDS	1119	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
EJKFKEDI_04433	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
EJKFKEDI_04434	CDS	621				hypothetical protein
EJKFKEDI_04435	CDS	1179	bamB		COG1520	Outer membrane protein assembly factor BamB
EJKFKEDI_04436	CDS	1473	der_2		COG1160	GTPase Der
EJKFKEDI_04437	CDS	216	yfgJ			putative protein YfgJ
EJKFKEDI_04438	CDS	2175				hypothetical protein
EJKFKEDI_04439	CDS	993				hypothetical protein
EJKFKEDI_04440	CDS	8082				hypothetical protein
EJKFKEDI_04441	CDS	1368	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
EJKFKEDI_04442	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
EJKFKEDI_04443	CDS	1578	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
EJKFKEDI_04444	CDS	540				hypothetical protein
EJKFKEDI_04445	CDS	516				hypothetical protein
EJKFKEDI_04446	CDS	174	yfgG			Protein YfgG
EJKFKEDI_04447	CDS	153				hypothetical protein
EJKFKEDI_04448	CDS	2244	pdeF	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeF
EJKFKEDI_04449	CDS	1542	ppx	3.6.1.11	COG0248	Exopolyphosphatase
EJKFKEDI_04450	CDS	2067	ppk	2.7.4.1	COG0855	Polyphosphate kinase
EJKFKEDI_04451	CDS	639	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
EJKFKEDI_04452	CDS	1038	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
EJKFKEDI_04453	CDS	627	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
EJKFKEDI_04454	CDS	1290	uraA		COG2233	Uracil permease
EJKFKEDI_04455	CDS	747	hda		COG0593	DnaA regulatory inactivator Hda
EJKFKEDI_04456	CDS	360	yfgD		COG1393	putative protein YfgD
EJKFKEDI_04457	CDS	1464	bepA	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
EJKFKEDI_04458	CDS	1062	yhhT_2		COG0628	Putative transport protein YhhT
EJKFKEDI_04459	CDS	471	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
EJKFKEDI_04460	CDS	573	gcvR		COG2716	Glycine cleavage system transcriptional repressor
EJKFKEDI_04461	CDS	879	dapA_3	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
EJKFKEDI_04462	CDS	1035	bamC		COG3317	Outer membrane protein assembly factor BamC
EJKFKEDI_04463	CDS	231				hypothetical protein
EJKFKEDI_04464	CDS	714	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
EJKFKEDI_04465	CDS	864			COG2321	putative protein
EJKFKEDI_04466	CDS	2016	tmcA	2.3.1.193	COG1444	tRNA(Met) cytidine acetyltransferase TmcA
EJKFKEDI_04467	CDS	699				hypothetical protein
EJKFKEDI_04468	CDS	201				hypothetical protein
EJKFKEDI_04469	CDS	1128	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
EJKFKEDI_04470	CDS	357	yffB		COG1393	Protein YffB
EJKFKEDI_04471	CDS	3114	acrB_2		COG0841	Multidrug efflux pump subunit AcrB
EJKFKEDI_04472	CDS	1701	narQ	2.7.13.3		Nitrate/nitrite sensor protein NarQ
EJKFKEDI_04473	CDS	1980		1.18.1.2		Ferredoxin--NADP reductase
EJKFKEDI_04474	CDS	576	nudK	3.6.1.-		GDP-mannose pyrophosphatase NudK
EJKFKEDI_04475	CDS	999				hypothetical protein
EJKFKEDI_04476	CDS	2004	tktB	2.2.1.1	COG0021	Transketolase 2
EJKFKEDI_04477	CDS	951	tal	2.2.1.2		Transaldolase
EJKFKEDI_04478	CDS	2280	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
EJKFKEDI_04479	CDS	336	eutS		COG4810	Ethanolamine utilization protein EutS
EJKFKEDI_04480	CDS	480	pduV		COG4917	Propanediol utilization protein PduV
EJKFKEDI_04481	CDS	702	eutQ		COG4766	Ethanolamine utilization protein EutQ
EJKFKEDI_04482	CDS	804				hypothetical protein
EJKFKEDI_04483	CDS	1017	eutD		COG0280	Ethanolamine utilization protein EutD
EJKFKEDI_04484	CDS	336	eutM		COG4577	Ethanolamine utilization protein EutM
EJKFKEDI_04485	CDS	288	eutN		COG4576	Ethanolamine utilization protein EutN
EJKFKEDI_04486	CDS	1404	proA_2	1.2.1.41		Gamma-glutamyl phosphate reductase
EJKFKEDI_04487	CDS	837	ftsA_2			Cell division protein FtsA
EJKFKEDI_04488	CDS	1188	mdh_2	1.1.1.244		NAD-dependent methanol dehydrogenase
EJKFKEDI_04489	CDS	1227				hypothetical protein
EJKFKEDI_04490	CDS	1404				hypothetical protein
EJKFKEDI_04491	CDS	1362	eutB	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
EJKFKEDI_04492	CDS	888	eutC	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
EJKFKEDI_04493	CDS	660	eutL		COG4816	Ethanolamine utilization protein EutL
EJKFKEDI_04494	CDS	501	eutK		COG4577	Ethanolamine utilization protein EutK
EJKFKEDI_04495	CDS	1053				hypothetical protein
EJKFKEDI_04496	CDS	903	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
EJKFKEDI_04497	CDS	870	amiA	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiA
EJKFKEDI_04498	CDS	426	ypeA	2.3.1.-	COG0456	Acetyltransferase YpeA
EJKFKEDI_04499	CDS	450	yfeZ			Inner membrane protein YfeZ
EJKFKEDI_04500	CDS	576	yfeY			putative protein YfeY
EJKFKEDI_04501	CDS	900	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
EJKFKEDI_04502	CDS	1425	murP		COG2190	PTS system N-acetylmuramic acid-specific EIIBC component
EJKFKEDI_04503	CDS	897	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
EJKFKEDI_04504	CDS	792	ucpA	1.-.-.-		Oxidoreductase UcpA
EJKFKEDI_04505	CDS	1017	cysP		COG4150	Thiosulfate-binding protein
EJKFKEDI_04506	CDS	834	cysT		COG0555	Sulfate transport system permease protein CysT
EJKFKEDI_04507	CDS	876	cysW		COG4208	Sulfate transport system permease protein CysW
EJKFKEDI_04508	CDS	1098	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
EJKFKEDI_04509	CDS	912	cysM	2.5.1.47	COG0031	Cysteine synthase B
EJKFKEDI_04510	CDS	369				hypothetical protein
EJKFKEDI_04511	CDS	852	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
EJKFKEDI_04512	CDS	510	crr		COG2190	PTS system glucose-specific EIIA component
EJKFKEDI_04513	CDS	1728	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
EJKFKEDI_04514	CDS	258	ptsH		COG1925	Phosphocarrier protein HPr
EJKFKEDI_04515	CDS	972	cysK	2.5.1.47	COG0031	Cysteine synthase A
EJKFKEDI_04516	CDS	762	cysZ		COG2981	Sulfate transporter CysZ
EJKFKEDI_04517	CDS	999	zipA		COG3115	Cell division protein ZipA
EJKFKEDI_04518	CDS	2016	ligA	6.5.1.2	COG0272	DNA ligase
EJKFKEDI_04519	CDS	219				hypothetical protein
EJKFKEDI_04520	CDS	999				hypothetical protein
EJKFKEDI_04521	CDS	927	cynR			HTH-type transcriptional regulator CynR
EJKFKEDI_04522	CDS	765				hypothetical protein
EJKFKEDI_04523	CDS	834	xapA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 2
EJKFKEDI_04524	CDS	1257	xapB			Xanthosine permease
EJKFKEDI_04525	CDS	885	hcaR_2			Hca operon transcriptional activator HcaR
EJKFKEDI_04526	tRNA	76				tRNA-Lys(ttt)
EJKFKEDI_04527	tRNA	76				tRNA-Val(tac)
EJKFKEDI_04528	tRNA	76				tRNA-Val(tac)
EJKFKEDI_04529	tRNA	76				tRNA-Val(tac)
EJKFKEDI_04530	CDS	1416	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
EJKFKEDI_04531	CDS	372				hypothetical protein
EJKFKEDI_04532	CDS	360				hypothetical protein
EJKFKEDI_04533	tRNA	76				tRNA-Ala(ggc)
EJKFKEDI_04534	tRNA	76				tRNA-Ala(ggc)
EJKFKEDI_04535	CDS	1203	nupC		COG1972	Nucleoside permease NupC
EJKFKEDI_04536	CDS	1239	mntH_2		COG1914	Divalent metal cation transporter MntH
EJKFKEDI_04537	CDS	327				hypothetical protein
EJKFKEDI_04538	CDS	1257	yfeO			Putative ion-transport protein YfeO
EJKFKEDI_04539	CDS	966	glk	2.7.1.2	COG0837	Glucokinase
EJKFKEDI_04540	CDS	327	fryB_2	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
EJKFKEDI_04541	CDS	1248	fryC		COG1299	Fructose-like permease IIC component 1
EJKFKEDI_04542	CDS	1086	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
EJKFKEDI_04543	CDS	1038	ypdE	3.4.11.-	COG1363	Aminopeptidase YpdE
