Plasmid,Plasmid Length,Resistance,Resistance Gene,Resistance Count,TF Protein,TF Gene,TF Gene Simplified,TF Count,DeepTFactor Locus_ID,DeepTF Count
NZ_CP070079.1,5571,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070080.1,5165,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070081.1,2102,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070095.1,5571,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070096.1,5165,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070097.1,104897,"['CEPHALOSPORIN', 'MACROLIDE', 'SULFONAMIDE', 'STREPTOMYCIN', 'TRIMETHOPRIM']","['blaCTX-M-15', 'mph(A)', 'sul1', 'aadA5', 'dfrA17']",5,"['Transcriptional repressor PifC (Protein C)', 'Uncharacterized HTH-type transcriptional regulator YfiR', 'Transcriptional regulator Rv3488']","['pifC C repC ECOK12F041', 'yfiR BSU08370', 'Rv3488']","['pifC', 'yfiR', 'Rv3488']",3,"['NLIEAIDC_00020', 'NLIEAIDC_00025', 'NLIEAIDC_00043', 'NLIEAIDC_00096', 'NLIEAIDC_00116']",5
NZ_CP070100.1,3045,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070104.1,40638,"['CHLORAMPHENICOL;FLORFENICOL', 'TETRACYCLINE', 'TRIMETHOPRIM', 'SULFONAMIDE', 'MACROLIDE']","['floR', 'tet(A)', 'dfrA1', 'sul1', 'mph(A)']",5,"['Carbapenem-hydrolyzing beta-lactamase transcriptional activator', 'Tetracycline repressor protein class A from transposon 1721', 'Transcriptional regulator Rv3488', 'Uncharacterized HTH-type transcriptional regulator YfiR']","['nmcR', 'tetR', 'Rv3488', 'yfiR BSU08370']","['nmcR', 'tetR', 'Rv3488', 'yfiR']",4,"['KHLMEDCI_00002', 'KHLMEDCI_00007', 'KHLMEDCI_00010', 'KHLMEDCI_00017', 'KHLMEDCI_00031', 'KHLMEDCI_00034']",6
NZ_CP070112.1,88687,['None'],['None'],0,['None'],['None'],['None'],0,"['AMPIFKCM_00021', 'AMPIFKCM_00038', 'AMPIFKCM_00051', 'AMPIFKCM_00054', 'AMPIFKCM_00076']",5
NZ_CP070113.1,81013,['None'],['None'],0,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein RepA2 (Protein CopB)']","['finO', 'repA2 copB ECOK12F006']","['finO', 'repA2']",2,"['INMCNGGG_00015', 'INMCNGGG_00017', 'INMCNGGG_00036', 'INMCNGGG_00092']",4
NZ_CP070116.1,150644,"['TETRACYCLINE', 'STREPTOMYCIN', 'STREPTOMYCIN']","['tet(B)', ""aph(3'')-Ib"", 'aph(6)-Id']",3,"['Fertility inhibition protein (Conjugal transfer repressor)', 'HTH-type transcriptional regulator AdmX', 'Uncharacterized HTH-type transcriptional regulator YdfF', 'Tetracycline repressor protein class B from transposon Tn10', 'Replication regulatory protein repA2 (Protein CopB)']","['finO', 'admX AWY96_00730', 'ydfF BSU05390', 'tetR', 'repA2 copB']","['finO', 'admX', 'ydfF', 'tetR', 'repA2']",5,"['GDPJLJAN_00002', 'GDPJLJAN_00024', 'GDPJLJAN_00057', 'GDPJLJAN_00095', 'GDPJLJAN_00099', 'GDPJLJAN_00100', 'GDPJLJAN_00103', 'GDPJLJAN_00105', 'GDPJLJAN_00106', 'GDPJLJAN_00107', 'GDPJLJAN_00144', 'GDPJLJAN_00147', 'GDPJLJAN_00148', 'GDPJLJAN_00151']",14
NZ_CP070117.1,24414,['None'],['None'],0,['SPbeta prophage-derived uncharacterized HTH-type transcriptional regulator YonR'],['yonR BSU21020'],['yonR'],1,"['LHDPMNBO_00007', 'LHDPMNBO_00008']",2
NZ_CP070118.1,69979,['None'],['None'],0,"['Biofilm operon icaADBC HTH-type negative transcriptional regulator IcaR (Intercellular adhesion protein R)', 'Replication regulatory protein repA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['icaR MW2585', 'repA2 copB repB CP0258', 'finO']","['icaR', 'repA2', 'finO']",3,"['OFBDGMKP_00019', 'OFBDGMKP_00039', 'OFBDGMKP_00049', 'OFBDGMKP_00051']",4
NZ_CP070119.1,3320,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070120.1,4073,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070122.1,1330,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070123.1,1207,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070125.1,114214,['None'],['None'],0,"['Replication regulatory protein RepA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['repA2 copB ECOK12F006', 'finO']","['repA2', 'finO']",2,"['CHGFMBIE_00014', 'CHGFMBIE_00080', 'CHGFMBIE_00099', 'CHGFMBIE_00105', 'CHGFMBIE_00122', 'CHGFMBIE_00127']",6
NZ_CP070126.1,6649,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070127.1,1844,['None'],['None'],0,['None'],['None'],['None'],0,['OMLPKCFM_00002'],1
NZ_CP070128.1,5172,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070129.1,4993,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070130.1,3682,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070131.1,1740,['None'],['None'],0,['None'],['None'],['None'],0,['CKAALGMD_00003'],1
NZ_CP070132.1,16993,['TETRACYCLINE'],['tet(B)'],1,"['Uncharacterized HTH-type transcriptional regulator YdfF', 'Tetracycline repressor protein class B from transposon Tn10']","['ydfF BSU05390', 'tetR']","['ydfF', 'tetR']",2,"['NAKLPKHF_00005', 'NAKLPKHF_00008']",2
NZ_CP070133.1,151846,"['SULFONAMIDE', 'STREPTOMYCIN', 'TRIMETHOPRIM', 'CEPHALOSPORIN', 'GENTAMICIN', 'CEPHALOSPORIN', 'AMIKACIN;KANAMYCIN;TOBRAMYCIN', 'MACROLIDE', 'TETRACYCLINE']","['sul1', 'aadA5', 'dfrA17', 'blaCTX-M-15', 'aac(3)-IIe', 'blaOXA-1', ""aac(6')-Ib-D181Y"", 'mph(A)', 'tet(B)']",9,"['HTH-type transcriptional repressor NemR (Bleach-sensing transcription factor) (Redox-regulated transcription factor NemR)', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein RepA2 (Protein CopB)', 'Arginine repressor', 'Replication regulatory protein repA2 (Protein CopB)', 'Uncharacterized HTH-type transcriptional regulator YfiR', 'Uncharacterized HTH-type transcriptional regulator YdfF', 'Tetracycline repressor protein class B from transposon Tn10']","['nemR ydhM b1649 JW5874', 'finO', 'repA2 copB ECOK12F006', 'argR VP0324', 'repA2 copB', 'yfiR BSU08370', 'ydfF BSU05390', 'tetR']","['nemR', 'finO', 'repA2', 'argR', 'repA2', 'yfiR', 'ydfF', 'tetR']",8,"['HJOIGEMI_00013', 'HJOIGEMI_00017', 'HJOIGEMI_00022', 'HJOIGEMI_00039', 'HJOIGEMI_00041', 'HJOIGEMI_00061', 'HJOIGEMI_00069', 'HJOIGEMI_00103', 'HJOIGEMI_00109', 'HJOIGEMI_00115', 'HJOIGEMI_00144', 'HJOIGEMI_00154', 'HJOIGEMI_00163', 'HJOIGEMI_00164', 'HJOIGEMI_00167']",15
NZ_CP070135.1,108186,['None'],['None'],0,['None'],['None'],['None'],0,"['DHAPOAHP_00007', 'DHAPOAHP_00008', 'DHAPOAHP_00069', 'DHAPOAHP_00088']",4
NZ_CP070136.1,48184,['None'],['None'],0,"['HTH-type transcriptional regulator PrtR (Pyocin repressor protein)', 'Cryptic phage CTXphi transcriptional repressor RstR', 'Transcriptional repressor protein KorC']","['prtR PA0611', 'rstR1 VC_1455; rstR2 VC_1464', 'korC']","['prtR', 'rstR1', 'korC']",3,"['BOLLHALI_00007', 'BOLLHALI_00022', 'BOLLHALI_00024', 'BOLLHALI_00027']",4
NZ_CP070137.1,37229,['TETRACYCLINE'],['tet(B)'],1,"['HTH-type transcriptional repressor NemR (Bleach-sensing transcription factor) (Redox-regulated transcription factor NemR)', 'Tetracycline repressor protein class B from transposon Tn10', 'Uncharacterized HTH-type transcriptional regulator YdfF']","['nemR ydhM b1649 JW5874', 'tetR', 'ydfF BSU05390']","['nemR', 'tetR', 'ydfF']",3,"['GLGFEELI_00008', 'GLGFEELI_00013', 'GLGFEELI_00026', 'GLGFEELI_00040', 'GLGFEELI_00044', 'GLGFEELI_00045']",6
NZ_CP070138.1,5632,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070139.1,1604,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070140.1,1714,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070141.1,1378,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070142.1,1313,['None'],['None'],0,['None'],['None'],['None'],0,['NMPNHCHK_00001'],1
NZ_CP070143.1,5184,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070149.1,26756,['BETA-LACTAM'],['blaTEM-1'],1,['F1845 adhesin operon regulatory protein'],['daaA'],['daaA'],1,"['CPMNJPAC_00002', 'CPMNJPAC_00004', 'CPMNJPAC_00006', 'CPMNJPAC_00024', 'CPMNJPAC_00027']",5
NZ_CP070150.1,124138,"['STREPTOMYCIN', 'STREPTOMYCIN', 'SULFONAMIDE', 'BETA-LACTAM', 'TRIMETHOPRIM', 'STREPTOMYCIN', 'SULFONAMIDE']","['aph(6)-Id', ""aph(3'')-Ib"", 'sul2', 'blaTEM-1', 'dfrA17', 'aadA5', 'sul1']",7,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein RepA2 (Protein CopB)', 'Mercuric resistance operon regulatory protein', 'HTH-type transcriptional regulator MerD (Mercuric resistance protein MerD)']","['finO', 'repA2 copB ECOK12F006', 'merR', 'merD']","['finO', 'repA2', 'merR', 'merD']",4,"['KHHEHBFJ_00009', 'KHHEHBFJ_00011', 'KHHEHBFJ_00039', 'KHHEHBFJ_00044', 'KHHEHBFJ_00061', 'KHHEHBFJ_00063', 'KHHEHBFJ_00084', 'KHHEHBFJ_00144', 'KHHEHBFJ_00149']",9
NZ_CP070151.1,136865,['CEPHALOSPORIN'],['blaTEM-6'],1,"['Replication regulatory protein repA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['repA2 copB repB CP0258', 'finO L7001 ECO57PM64']","['repA2', 'finO']",2,"['LLHDKDIH_00003', 'LLHDKDIH_00011', 'LLHDKDIH_00051', 'LLHDKDIH_00078', 'LLHDKDIH_00100', 'LLHDKDIH_00110', 'LLHDKDIH_00112', 'LLHDKDIH_00113', 'LLHDKDIH_00115']",9
NZ_CP070153.1,3005,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070154.1,1628,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070155.1,1294,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070156.1,1162,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070163.1,114875,['None'],['None'],0,"['Replication regulatory protein RepA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['repA2 copB ECOK12F006', 'finO']","['repA2', 'finO']",2,"['OOEIFNPL_00004', 'OOEIFNPL_00033', 'OOEIFNPL_00098', 'OOEIFNPL_00115', 'OOEIFNPL_00135']",5
NZ_CP070164.1,5154,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070165.1,1550,['None'],['None'],0,['None'],['None'],['None'],0,['DHIGKDPI_00001'],1
NZ_CP070166.1,5222,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070167.1,5505,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070168.1,1131,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070171.1,118582,"['TETRACYCLINE', 'CHLORAMPHENICOL', 'TRIMETHOPRIM', 'BETA-LACTAM', 'SULFONAMIDE', 'STREPTOMYCIN', 'STREPTOMYCIN']","['tet(B)', 'catA1', 'dfrA8', 'blaTEM-1', 'sul2', ""aph(3'')-Ib"", 'aph(6)-Id']",7,"['Uncharacterized HTH-type transcriptional regulator RhmR', 'Tetracycline repressor protein class B from transposon Tn10', 'Uncharacterized HTH-type transcriptional regulator YdfF', 'Replication regulatory protein repA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['rhmR yfaX b2248 JW2242', 'tetR', 'ydfF BSU05390', 'repA2 copB', 'finO']","['rhmR', 'tetR', 'ydfF', 'repA2', 'finO']",5,"['MNKKOMKI_00009', 'MNKKOMKI_00024', 'MNKKOMKI_00039', 'MNKKOMKI_00040', 'MNKKOMKI_00058', 'MNKKOMKI_00123']",6
NZ_CP070587.1,88948,"['MACROLIDE', 'CARBAPENEM', 'AMIKACIN;KANAMYCIN;TOBRAMYCIN', 'AMIKACIN;KANAMYCIN;QUINOLONE;TOBRAMYCIN', 'CEPHALOSPORIN', 'CHLORAMPHENICOL', 'RIFAMYCIN', 'SULFONAMIDE']","['mph(A)', 'blaKPC-3', ""aac(6')-Ib-AKT"", ""aac(6')-Ib-cr5"", 'blaOXA-1', 'catB3', 'arr-3', 'sul1']",8,"['Uncharacterized HTH-type transcriptional regulator YfiR', 'TrfB transcriptional repressor protein (Regulatory protein KorA)', 'Transcriptional regulator Rv3488']","['yfiR BSU08370', 'trfB korA', 'Rv3488']","['yfiR', 'trfB', 'Rv3488']",3,"['DLLDOBEM_00007', 'DLLDOBEM_00014', 'DLLDOBEM_00030', 'DLLDOBEM_00071', 'DLLDOBEM_00080', 'DLLDOBEM_00083', 'DLLDOBEM_00105']",7
NZ_CP070588.1,18780,"['CEPHALOSPORIN', 'CHLORAMPHENICOL', 'RIFAMYCIN', 'SULFONAMIDE']","['blaOXA-1', 'catB3', 'arr-3', 'sul1']",4,"['Transcriptional regulator Rv3488', 'Replication regulatory protein repA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['Rv3488', 'repA2 copB', 'finO']","['Rv3488', 'repA2', 'finO']",3,['HCHFGNKN_00007'],1
NZ_CP070589.1,6896,['None'],['None'],0,['None'],['None'],['None'],0,"['CHDLPLLF_00001', 'CHDLPLLF_00007']",2
NZ_CP070590.1,101335,"['SULFONAMIDE', 'STREPTOMYCIN', 'STREPTOMYCIN', 'TRIMETHOPRIM']","['sul2', ""aph(3'')-Ib"", 'aph(6)-Id', 'dfrA14']",4,['Fertility inhibition protein (Conjugal transfer repressor)'],['finO'],['finO'],1,"['EGIDIIHG_00039', 'EGIDIIHG_00073', 'EGIDIIHG_00107']",3
NZ_CP070591.1,4088,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070592.1,1550,['None'],['None'],0,['None'],['None'],['None'],0,['DDCGCCOE_00001'],1
NZ_CP070903.1,173697,"['QUINOLONE', 'CHLORAMPHENICOL;FLORFENICOL', 'SULFONAMIDE', 'STREPTOMYCIN', 'BETA-LACTAM']","['qnrS1', 'floR', 'sul3', 'aadA1', 'blaTEM-1']",5,"['FACT complex subunit POB3 (Facilitates chromatin transcription complex subunit POB3)', 'Carbapenem-hydrolyzing beta-lactamase transcriptional activator', 'Probable transcriptional regulatory protein SilR', 'HTH-type transcriptional regulator RdgA', 'General transcription and DNA repair factor IIH helicase subunit XPB2 (TFIIH subunit XPB) (EC 3.6.4.12) (ERCC3 homolog 2) (RAD25 homolog 2) (AtXPB2) (XPB homolog 2)']","['POB3 DEHA2D11374g', 'nmcR', 'silR', 'rdgA', 'XPB2 At5g41360 MYC6.7']","['POB3', 'nmcR', 'silR', 'rdgA', 'XPB2']",5,"['LFKBIADD_00001', 'LFKBIADD_00064', 'LFKBIADD_00072', 'LFKBIADD_00094', 'LFKBIADD_00099', 'LFKBIADD_00109', 'LFKBIADD_00125', 'LFKBIADD_00127', 'LFKBIADD_00128', 'LFKBIADD_00143', 'LFKBIADD_00171']",11
NZ_CP070904.1,2461,['None'],['None'],0,['Protein phosphatase 1 regulatory subunit 3C (Protein phosphatase 1 regulatory subunit 5) (PP1 subunit R5) (Protein targeting to glycogen) (PTG)'],['PPP1R3C PPP1R5'],['PPP1R3C'],1,[],0
NZ_CP070907.1,142546,"['BETA-LACTAM', 'SULFONAMIDE', 'STREPTOMYCIN', 'CHLORAMPHENICOL;FLORFENICOL', 'TETRACYCLINE']","['blaTEM-1', 'sul3', 'aadA1', 'floR', 'tet(A)']",5,"['Antirepressor protein 1 (ant1) (Repressor bypass protein B) (rebB) [Cleaved into: Antirepressor protein 2 (ant2) (Repressor bypass protein A) (rebA)]', 'Carbapenem-hydrolyzing beta-lactamase transcriptional activator', 'Tetracycline repressor protein class A from transposon 1721', 'HTH-type transcriptional regulator YdeO', 'Tetracycline repressor protein class H', 'Cyclic di-GMP-binding protein (Cellulose synthase regulatory subunit)']","['ant reb', 'nmcR', 'tetR', 'Z2209 ECs2104', 'tetR', 'bcsB yhjN b3532 JW3500']","['ant', 'nmcR', 'tetR', 'Z2209', 'tetR', 'bcsB']",6,"['PIDAEDGM_00003', 'PIDAEDGM_00014', 'PIDAEDGM_00016', 'PIDAEDGM_00017', 'PIDAEDGM_00040', 'PIDAEDGM_00059', 'PIDAEDGM_00061', 'PIDAEDGM_00067', 'PIDAEDGM_00083', 'PIDAEDGM_00084', 'PIDAEDGM_00132', 'PIDAEDGM_00133', 'PIDAEDGM_00137', 'PIDAEDGM_00138', 'PIDAEDGM_00140', 'PIDAEDGM_00145', 'PIDAEDGM_00150']",17
NZ_CP070908.1,111013,['None'],['None'],0,['None'],['None'],['None'],0,"['HCELLFPG_00001', 'HCELLFPG_00019', 'HCELLFPG_00068', 'HCELLFPG_00069']",4
NZ_CP070909.1,2335,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070910.1,2258,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070911.1,2138,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070912.1,2137,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070913.1,1918,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070915.1,217266,"['BETA-LACTAM', 'COLISTIN']","['blaTEM-1', 'mcr-1.1']",2,"['Probable transcriptional regulatory protein SilR', 'HTH-type transcriptional regulator RdgA', 'Uncharacterized HTH-type transcriptional regulator MTH_1328']","['silR', 'rdgA', 'MTH_1328']","['silR', 'rdgA', 'MTH_1328']",3,"['GCBPNFNL_00001', 'GCBPNFNL_00075', 'GCBPNFNL_00080', 'GCBPNFNL_00091', 'GCBPNFNL_00107', 'GCBPNFNL_00110', 'GCBPNFNL_00121', 'GCBPNFNL_00124', 'GCBPNFNL_00222']",9
NZ_CP070916.1,106066,['TETRACYCLINE'],['tet(A)'],1,"['Tetracycline repressor protein class A from transposon 1721', 'Probable HTH-type transcriptional regulator YgaV', 'HTH-type transcriptional regulator YdeO', 'Cyclic di-GMP-binding protein (Cellulose synthase regulatory subunit)']","['tetR', 'ygaV b2667 JW2642', 'Z2209 ECs2104', 'bcsB yhjN b3532 JW3500']","['tetR', 'ygaV', 'Z2209', 'bcsB']",4,"['MMNOMIBN_00018', 'MMNOMIBN_00022', 'MMNOMIBN_00029', 'MMNOMIBN_00032', 'MMNOMIBN_00046', 'MMNOMIBN_00058', 'MMNOMIBN_00078', 'MMNOMIBN_00080', 'MMNOMIBN_00081', 'MMNOMIBN_00085', 'MMNOMIBN_00086', 'MMNOMIBN_00106', 'MMNOMIBN_00125']",13
NZ_CP070917.1,4711,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070918.1,3374,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070921.1,131967,['None'],['None'],0,"['Replication regulatory protein repA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['repA2 copB repB CP0258', 'finO']","['repA2', 'finO']",2,"['ILNODBMB_00007', 'ILNODBMB_00024', 'ILNODBMB_00030', 'ILNODBMB_00031', 'ILNODBMB_00035', 'ILNODBMB_00052', 'ILNODBMB_00060', 'ILNODBMB_00112']",8
NZ_CP070922.1,104227,['CEPHALOSPORIN'],['blaCTX-M-55'],1,['Response regulator UvrY'],['uvrY c2327'],['uvrY'],1,"['BBPGOGDN_00003', 'BBPGOGDN_00009', 'BBPGOGDN_00018', 'BBPGOGDN_00019', 'BBPGOGDN_00026', 'BBPGOGDN_00049', 'BBPGOGDN_00052', 'BBPGOGDN_00106']",8
NZ_CP070923.1,102704,['None'],['None'],0,"['Sucrose operon repressor (Scr operon regulatory protein)', 'Antirepressor protein 1 (ant1) (Repressor bypass protein B) (rebB) [Cleaved into: Antirepressor protein 2 (ant2) (Repressor bypass protein A) (rebA)]', 'HTH-type transcriptional regulator YdeO', 'Cyclic di-GMP-binding protein (Cellulose synthase regulatory subunit)']","['scrR', 'ant reb', 'Z2209 ECs2104', 'bcsB yhjN b3532 JW3500']","['scrR', 'ant', 'Z2209', 'bcsB']",4,"['BANIGGNE_00003', 'BANIGGNE_00009', 'BANIGGNE_00011', 'BANIGGNE_00012', 'BANIGGNE_00021', 'BANIGGNE_00026', 'BANIGGNE_00041', 'BANIGGNE_00050', 'BANIGGNE_00051', 'BANIGGNE_00091', 'BANIGGNE_00092', 'BANIGGNE_00093']",12
NZ_CP070924.1,60994,['COLISTIN'],['mcr-1.1'],1,['Transcriptional activatory protein CaiF'],['caiF SF0031 S0033'],['caiF'],1,[],0
NZ_CP070925.1,50324,"['TETRACYCLINE', 'QUINOLONE', 'TRIMETHOPRIM']","['tet(A)', 'qnrS1', 'dfrA14']",3,['Tetracycline repressor protein class A from transposon 1721'],['tetR'],['tetR'],1,"['LCMBOLLG_00028', 'LCMBOLLG_00040', 'LCMBOLLG_00044', 'LCMBOLLG_00048']",4
NZ_CP070926.1,4981,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070927.1,4238,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070928.1,3376,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070929.1,1619,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP070931.1,52586,"['BETA-LACTAM', 'SULFONAMIDE', 'STREPTOMYCIN', 'CHLORAMPHENICOL;FLORFENICOL', 'QUINOLONE', 'TETRACYCLINE', 'TRIMETHOPRIM', 'MACROLIDE']","['blaTEM-135', 'sul3', 'aadA1', 'floR', 'qnrS13', 'tet(A)', 'dfrA14', 'mph(A)']",8,"['Carbapenem-hydrolyzing beta-lactamase transcriptional activator', 'Tetracycline repressor protein class H', 'Tetracycline repressor protein class A from transposon 1721', 'Uncharacterized HTH-type transcriptional regulator YfiR']","['nmcR', 'tetR', 'tetR', 'yfiR BSU08370']","['nmcR', 'tetR', 'tetR', 'yfiR']",4,"['NDDEDDJM_00009', 'NDDEDDJM_00029', 'NDDEDDJM_00039', 'NDDEDDJM_00044', 'NDDEDDJM_00057']",5
NZ_CP070932.1,34314,['None'],['None'],0,"['Probable transcriptional regulatory protein MAG6590', 'TrfB transcriptional repressor protein (Regulatory protein KorA)']","['MAG6590', 'trfB korA']","['MAG6590', 'trfB']",2,"['GGACGHPO_00012', 'GGACGHPO_00015', 'GGACGHPO_00041', 'GGACGHPO_00044']",4
NZ_CP070933.1,3724,['None'],['None'],0,['None'],['None'],['None'],0,['BCHEJPCO_00005'],1
NZ_CP070934.1,2517,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP071074.1,169083,"['CEPHALOSPORIN', 'TRIMETHOPRIM', 'RIFAMYCIN', 'CHLORAMPHENICOL', 'CEPHALOSPORIN', 'STREPTOMYCIN', 'SULFONAMIDE', 'AMIKACIN;KANAMYCIN', 'CARBAPENEM', 'SULFONAMIDE', 'GENTAMICIN', 'MACROLIDE', 'MACROLIDE']","['blaCMY-4', 'dfrA14', 'arr-2', 'cmlA5', 'blaOXA-10', 'aadA1', 'sul1', ""aph(3')-VI"", 'blaNDM-1', 'sul1', 'armA', 'msr(E)', 'mph(E)']",13,"['Transcriptional repressor protein KorB', 'Mercuric resistance operon regulatory protein', 'Negative regulator of transcription (Ner)', 'Flagellar transcriptional regulator FlhD', 'Flagellar transcriptional regulator FlhC']","['korB', 'merR', 'ner', 'flhD NE2407', 'flhC']","['korB', 'merR', 'ner', 'flhD', 'flhC']",5,"['KJHDFCOC_00022', 'KJHDFCOC_00024', 'KJHDFCOC_00042', 'KJHDFCOC_00051', 'KJHDFCOC_00052', 'KJHDFCOC_00133', 'KJHDFCOC_00134', 'KJHDFCOC_00155', 'KJHDFCOC_00166', 'KJHDFCOC_00170']",10
NZ_CP071075.1,129524,"['TETRACYCLINE', 'TRIMETHOPRIM', 'MACROLIDE', 'SULFONAMIDE', 'STREPTOMYCIN', 'STREPTOMYCIN', 'BETA-LACTAM']","['tet(B)', 'dfrA14', 'mph(A)', 'sul2', ""aph(3'')-Ib"", 'aph(6)-Id', 'blaTEM-1']",7,"['Tetracycline repressor protein class B from transposon Tn10', 'Uncharacterized HTH-type transcriptional regulator YdfF', 'Uncharacterized HTH-type transcriptional regulator YfiR', 'Uncharacterized HTH-type transcriptional regulator YtzE', 'Virulence regulon transcriptional activator VirB (Cell invasion regulator InvE)']","['tetR', 'ydfF BSU05390', 'yfiR BSU08370', 'ytzE BSU30020', 'virB invE']","['tetR', 'ydfF', 'yfiR', 'ytzE', 'virB']",5,"['ADMPGPBG_00006', 'ADMPGPBG_00011', 'ADMPGPBG_00040', 'ADMPGPBG_00054', 'ADMPGPBG_00057', 'ADMPGPBG_00058', 'ADMPGPBG_00085', 'ADMPGPBG_00087', 'ADMPGPBG_00111']",9
NZ_CP071076.1,93751,"['CEPHALOSPORIN', 'GENTAMICIN', 'BETA-LACTAM']","['blaCTX-M-15', 'aac(3)-IId', 'blaTEM-1']",3,['Response regulator UvrY'],['uvrY c2327'],['uvrY'],1,"['ENKPJPGI_00019', 'ENKPJPGI_00034', 'ENKPJPGI_00037', 'ENKPJPGI_00095']",4
NZ_CP071077.1,64918,['None'],['None'],0,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)']","['finO', 'repA2 copB']","['finO', 'repA2']",2,['FEBNDMKD_00025'],1
NZ_CP071078.1,5168,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP071079.1,4073,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP071437.1,37037,"['TETRACYCLINE', 'SULFONAMIDE', 'STREPTOMYCIN', 'TRIMETHOPRIM']","['tet(A)', 'sul3', 'aadA2', 'dfrA12']",4,"['Tetracycline repressor protein class A from transposon 1721', 'Probable HTH-type transcriptional regulator YgaV', 'Mercuric resistance operon regulatory protein', 'HTH-type transcriptional regulator MerD (Mercuric resistance protein MerD)']","['tetR', 'ygaV b2667 JW2642', 'merR', 'merD']","['tetR', 'ygaV', 'merR', 'merD']",4,"['LCGECFFM_00003', 'LCGECFFM_00018', 'LCGECFFM_00020', 'LCGECFFM_00023']",4
NZ_CP071438.1,25038,['None'],['None'],0,['SPbeta prophage-derived uncharacterized HTH-type transcriptional regulator YonR'],['yonR BSU21020'],['yonR'],1,"['PAPKALPL_00003', 'PAPKALPL_00029', 'PAPKALPL_00034']",3
